lambda,compname,minwav,maxwav,linename,ngauss,inisig,minsig,maxsig,voff,vindex,windex,findex,fvalue
6564.61,Ha,6400.0,6800.0,Ha_br,3.0,0.005,0.003,0.01,0.005,0.0,0.0,0.0,0.05
6564.61,Ha,6400.0,6800.0,Ha_na,1.0,0.001,0.0005,0.0017,0.01,1.0,1.0,0.0,0.002
6549.85,Ha,6400.0,6800.0,NII6549,1.0,0.001,0.00023,0.0017,0.005,1.0,1.0,1.0,0.001
6585.28,Ha,6400.0,6800.0,NII6585,1.0,0.001,0.00023,0.0017,0.005,1.0,1.0,1.0,0.003
6718.29,Ha,6400.0,6800.0,SII6718,1.0,0.001,0.00023,0.0017,0.005,1.0,1.0,2.0,0.001
6732.67,Ha,6400.0,6800.0,SII6732,1.0,0.001,0.00023,0.0017,0.005,1.0,1.0,2.0,0.001
4862.68,Hb,4640.0,5100.0,Hb_br,3.0,0.005,0.003,0.01,0.003,0.0,0.0,0.0,0.01
4862.68,Hb,4640.0,5100.0,Hb_na,1.0,0.001,0.00023,0.0017,0.01,1.0,1.0,0.0,0.002
4960.3,Hb,4640.0,5100.0,OIII4959,1.0,0.001,0.00023,0.0017,0.01,1.0,1.0,0.0,0.002
5008.24,Hb,4640.0,5100.0,OIII5007,1.0,0.001,0.00023,0.0017,0.01,1.0,1.0,0.0,0.004
4955.3,Hb,4640.0,5100.0,OIII4959w,1.0,0.001,0.00023,0.0017,0.01,2.0,2.0,0.0,0.001
4995.24,Hb,4640.0,5100.0,OIII5007w,1.0,0.001,0.00023,0.0017,0.01,2.0,2.0,0.0,0.002
4341.68,Hg,4250.0,4440.0,Hg_br,1.0,0.005,0.004,0.025,0.0017,0.0,0.0,0.0,0.05
4341.68,Hg,4250.0,4440.0,Hg_na,1.0,0.001,0.00023,0.0017,0.005,1.0,1.0,0.0,0.001
3728.48,OII,3650.0,3800.0,OII3728,1.0,0.001,0.0003333,0.0017,0.01,1.0,1.0,0.0,0.001
3426.84,NeV,3380.0,3480.0,NeV3426,1.0,0.001,0.0003333,0.0017,0.005,0.0,0.0,0.0,0.001
2798.75,MgII,2700.0,2900.0,MgII_br,2.0,0.005,0.004,0.015,0.0017,0.0,0.0,0.0,0.05
2798.75,MgII,2700.0,2900.0,MgII_na,1.0,0.001,0.00023,0.0017,0.01,0.0,0.0,0.0,0.002
1908.73,CIII,1700.0,1970.0,CIII_br,2.0,0.005,0.004,0.015,0.015,99.0,0.0,0.0,0.01
1549.06,CIV,1500.0,1700.0,CIV_br,3.0,0.005,0.004,0.015,0.015,0.0,0.0,0.0,0.05
