n_upper,n_lower,lambda_vacuum_angstrom,lambda_air_angstrom,rel_flux_hbeta,rel_flux_sum_norm,source,te_k,log10_ne_cm3,case,notes
7,2,3971.2359,3970.1125,1.842442e-01,2.089369e-01,storey_hummer95,15000.0,9.0,B,
8,2,3890.1903,3889.0881,1.291631e-01,1.464737e-01,storey_hummer95,15000.0,9.0,B,
9,2,3836.5107,3835.4225,9.634927e-02,1.092621e-01,storey_hummer95,15000.0,9.0,B,
10,2,3799.0139,3797.9355,7.525619e-02,8.534213e-02,storey_hummer95,15000.0,9.0,B,
11,2,3771.7390,3770.6676,6.022630e-02,6.829791e-02,storey_hummer95,15000.0,9.0,B,
12,2,3751.2549,3750.1889,4.868702e-02,5.521212e-02,storey_hummer95,15000.0,9.0,B,
13,2,3735.4668,3734.4049,3.957088e-02,4.487422e-02,storey_hummer95,15000.0,9.0,B,
14,2,3723.0336,3721.9750,3.236550e-02,3.670317e-02,storey_hummer95,15000.0,9.0,B,
15,2,3713.0634,3712.0073,2.667592e-02,3.025106e-02,storey_hummer95,15000.0,9.0,B,
16,2,3704.9431,3703.8891,2.216055e-02,2.513053e-02,storey_hummer95,15000.0,9.0,B,
17,2,3698.2401,3697.1878,1.856319e-02,2.105106e-02,storey_hummer95,15000.0,9.0,B,
18,2,3692.6415,3691.5908,1.568104e-02,1.778264e-02,storey_hummer95,15000.0,9.0,B,
19,2,3687.9167,3686.8672,1.334330e-02,1.513158e-02,storey_hummer95,15000.0,9.0,B,
20,2,3683.8923,3682.8438,1.145389e-02,1.298895e-02,storey_hummer95,15000.0,9.0,B,
21,2,3680.4360,3679.3884,9.892186e-03,1.121795e-02,storey_hummer95,15000.0,9.0,B,
22,2,3677.4455,3676.3986,8.600555e-03,9.753213e-03,storey_hummer95,15000.0,9.0,B,
23,2,3674.8404,3673.7943,7.523484e-03,8.531792e-03,storey_hummer95,15000.0,9.0,B,
24,2,3672.5572,3671.5117,6.618275e-03,7.505265e-03,storey_hummer95,15000.0,9.0,B,
25,2,3670.5449,3669.4998,5.851836e-03,6.636107e-03,storey_hummer95,15000.0,9.0,B,
26,2,3668.7620,3667.7174,5.198548e-03,5.895265e-03,storey_hummer95,15000.0,9.0,B,
27,2,3667.1750,3666.1309,4.639197e-03,5.260949e-03,storey_hummer95,15000.0,9.0,B,
28,2,3665.7562,3664.7124,4.156704e-03,4.713791e-03,storey_hummer95,15000.0,9.0,B,
29,2,3664.4825,3663.4391,3.739325e-03,4.240475e-03,storey_hummer95,15000.0,9.0,B,
30,2,3663.3349,3662.2917,3.376388e-03,3.828896e-03,storey_hummer95,15000.0,9.0,B,
31,2,3662.2971,3661.2541,3.058284e-03,3.468159e-03,storey_hummer95,15000.0,9.0,B,
