n_upper,n_lower,lambda_vacuum_angstrom,lambda_air_angstrom,rel_flux_hbeta,rel_flux_sum_norm,source,te_k,log10_ne_cm3,case,notes
6,2,4102.9350,4101.7771,3.051369e-01,2.426541e-01,storey_hummer95,15000.0,10.0,B,
7,2,3971.2359,3970.1125,2.091664e-01,1.663355e-01,storey_hummer95,15000.0,10.0,B,
8,2,3890.1903,3889.0881,1.540039e-01,1.224686e-01,storey_hummer95,15000.0,10.0,B,
9,2,3836.5107,3835.4225,1.157593e-01,9.205526e-02,storey_hummer95,15000.0,10.0,B,
10,2,3799.0139,3797.9355,8.760381e-02,6.966521e-02,storey_hummer95,15000.0,10.0,B,
11,2,3771.7390,3770.6676,6.700502e-02,5.328442e-02,storey_hummer95,15000.0,10.0,B,
12,2,3751.2549,3750.1889,5.197375e-02,4.133110e-02,storey_hummer95,15000.0,10.0,B,
13,2,3735.4668,3734.4049,4.095150e-02,3.256587e-02,storey_hummer95,15000.0,10.0,B,
14,2,3723.0336,3721.9750,3.275915e-02,2.605107e-02,storey_hummer95,15000.0,10.0,B,
15,2,3713.0634,3712.0073,2.658669e-02,2.114254e-02,storey_hummer95,15000.0,10.0,B,
16,2,3704.9431,3703.8891,2.184969e-02,1.737553e-02,storey_hummer95,15000.0,10.0,B,
17,2,3698.2401,3697.1878,1.816877e-02,1.444835e-02,storey_hummer95,15000.0,10.0,B,
18,2,3692.6415,3691.5908,1.526710e-02,1.214086e-02,storey_hummer95,15000.0,10.0,B,
19,2,3687.9167,3686.8672,1.296011e-02,1.030628e-02,storey_hummer95,15000.0,10.0,B,
20,2,3683.8923,3682.8438,1.108377e-02,8.814149e-03,storey_hummer95,15000.0,10.0,B,
21,2,3680.4360,3679.3884,9.558085e-03,7.600878e-03,storey_hummer95,15000.0,10.0,B,
22,2,3677.4455,3676.3986,8.298985e-03,6.599604e-03,storey_hummer95,15000.0,10.0,B,
23,2,3674.8404,3673.7943,7.252128e-03,5.767111e-03,storey_hummer95,15000.0,10.0,B,
24,2,3672.5572,3671.5117,6.374449e-03,5.069155e-03,storey_hummer95,15000.0,10.0,B,
25,2,3670.5449,3669.4998,5.633139e-03,4.479642e-03,storey_hummer95,15000.0,10.0,B,
26,2,3668.7620,3667.7174,5.002563e-03,3.978190e-03,storey_hummer95,15000.0,10.0,B,
27,2,3667.1750,3666.1309,4.462217e-03,3.548490e-03,storey_hummer95,15000.0,10.0,B,
28,2,3665.7562,3664.7124,3.997744e-03,3.179127e-03,storey_hummer95,15000.0,10.0,B,
29,2,3664.4825,3663.4391,3.595817e-03,2.859502e-03,storey_hummer95,15000.0,10.0,B,
30,2,3663.3349,3662.2917,3.245155e-03,2.580646e-03,storey_hummer95,15000.0,10.0,B,
31,2,3662.2971,3661.2541,2.939608e-03,2.337666e-03,storey_hummer95,15000.0,10.0,B,
32,2,3661.3555,3660.3129,2.670973e-03,2.124039e-03,storey_hummer95,15000.0,10.0,B,
33,2,3660.4987,3659.4563,2.434123e-03,1.935688e-03,storey_hummer95,15000.0,10.0,B,
34,2,3659.7167,3658.6745,2.223931e-03,1.768537e-03,storey_hummer95,15000.0,10.0,B,
35,2,3659.0011,3657.9591,2.038347e-03,1.620955e-03,storey_hummer95,15000.0,10.0,B,
36,2,3658.3446,3657.3027,1.872244e-03,1.488865e-03,storey_hummer95,15000.0,10.0,B,
37,2,3657.7407,3656.6990,1.723572e-03,1.370637e-03,storey_hummer95,15000.0,10.0,B,
38,2,3657.1841,3656.1425,1.590280e-03,1.264639e-03,storey_hummer95,15000.0,10.0,B,
39,2,3656.6699,3655.6284,1.471342e-03,1.170056e-03,storey_hummer95,15000.0,10.0,B,
40,2,3656.1939,3655.1525,1.362658e-03,1.083627e-03,storey_hummer95,15000.0,10.0,B,
41,2,3655.7524,3654.7111,1.265252e-03,1.006166e-03,storey_hummer95,15000.0,10.0,B,
42,2,3655.3421,3654.3010,1.177074e-03,9.360447e-04,storey_hummer95,15000.0,10.0,B,
43,2,3654.9603,3653.9192,1.096073e-03,8.716304e-04,storey_hummer95,15000.0,10.0,B,
44,2,3654.6042,3653.5633,1.022865e-03,8.134130e-04,storey_hummer95,15000.0,10.0,B,
45,2,3654.2717,3653.2308,9.560135e-04,7.602509e-04,storey_hummer95,15000.0,10.0,B,
46,2,3653.9607,3652.9199,8.948016e-04,7.115733e-04,storey_hummer95,15000.0,10.0,B,
47,2,3653.6693,3652.6287,8.387163e-04,6.669726e-04,storey_hummer95,15000.0,10.0,B,
48,2,3653.3961,3652.3555,7.872450e-04,6.260410e-04,storey_hummer95,15000.0,10.0,B,
49,2,3653.1394,3652.0989,7.398749e-04,5.883709e-04,storey_hummer95,15000.0,10.0,B,
50,2,3652.8980,3651.8575,6.962986e-04,5.537177e-04,storey_hummer95,15000.0,10.0,B,
